Age_months,L.boys,M.boys,S.boys,L.girls,M.girls,S.girls
0,1.267,49.9889,0.0531,-1.296,49.2864,0.0501
0.5,0.5112,52.696,0.0487,-0.8092,51.6836,0.0468
1.5,-0.4522,56.6284,0.0441,-0.0508,55.2861,0.0434
2.5,-0.9906,59.609,0.0418,0.4769,58.0938,0.0417
3.5,-1.2858,62.077,0.0405,0.8433,60.4598,0.0407
4.5,-1.4303,64.2169,0.0396,1.0976,62.5367,0.0401
5.5,-1.4766,66.1253,0.0391,1.2725,64.4063,0.0397
6.5,-1.4568,67.8602,0.0388,1.3904,66.1184,0.0394
7.5,-1.3919,69.4591,0.0386,1.4667,67.7057,0.0393
8.5,-1.2957,70.948,0.0385,1.5123,69.1912,0.0392
9.5,-1.1779,72.3459,0.0385,1.535,70.5916,0.0392
10.5,-1.0453,73.6667,0.0386,1.5404,71.9196,0.0392
11.5,-0.9028,74.9213,0.0386,1.5329,73.185,0.0393
12.5,-0.7539,76.1184,0.0387,1.5155,74.3956,0.0394
13.5,-0.6013,77.2648,0.0388,1.4908,75.5579,0.0395
14.5,-0.4468,78.3662,0.0389,1.4605,76.6769,0.0396
15.5,-0.292,79.4273,0.0391,1.426,77.757,0.0397
16.5,-0.1378,80.4521,0.0392,1.3885,78.802,0.0398
17.5,0.0148,81.4438,0.0393,1.3488,79.8149,0.0399
18.5,0.1653,82.4054,0.0395,1.3076,80.7985,0.04
19.5,0.3133,83.3394,0.0396,1.2654,81.7551,0.0402
20.5,0.4585,84.2478,0.0398,1.2226,82.6868,0.0403
21.5,0.6005,85.1327,0.0399,1.1796,83.5953,0.0404
22.5,0.7394,85.9956,0.0401,1.1366,84.4823,0.0406
23.5,0.875,86.8382,0.0402,1.0937,85.3492,0.0407
24.5,1.0072,86.8616,0.0404,1.0513,85.3973,0.0409
25.5,0.8373,87.6525,0.0406,1.042,86.2903,0.0411
26.5,0.6815,88.4233,0.0407,1.0126,87.1571,0.0413
27.5,0.5388,89.1755,0.0408,0.9705,87.996,0.0415
28.5,0.4077,89.9104,0.0409,0.9211,88.8055,0.0416
29.5,0.2868,90.6291,0.041,0.8682,89.5848,0.0417
30.5,0.1745,91.3324,0.041,0.8145,90.3334,0.0418
31.5,0.0694,92.0213,0.0409,0.762,91.0515,0.0418
32.5,-0.0297,92.6964,0.0409,0.7117,91.7396,0.0418
33.5,-0.1243,93.3585,0.0408,0.6643,92.3985,0.0419
34.5,-0.2153,94.0082,0.0408,0.6203,93.0295,0.0419
35.5,-0.3039,94.6464,0.0407,0.5796,93.6338,0.042
36.5,-0.3909,95.2736,0.0405,0.542,94.2134,0.042
37.5,-0.2548,95.9147,0.0406,0.5114,94.7964,0.0421
38.5,-0.1257,96.5473,0.0406,0.4828,95.3739,0.0422
39.5,-0.0032,97.1719,0.0407,0.4555,95.9469,0.0423
40.5,0.1129,97.789,0.0407,0.4292,96.5164,0.0424
41.5,0.2228,98.399,0.0408,0.4034,97.0834,0.0425
42.5,0.3265,99.0025,0.0408,0.3779,97.6485,0.0426
43.5,0.4244,99.6,0.0409,0.3526,98.2125,0.0427
44.5,0.5164,100.1918,0.041,0.3273,98.7759,0.0428
45.5,0.6026,100.7783,0.0411,0.302,99.3394,0.0429
46.5,0.6832,101.36,0.0412,0.2766,99.9033,0.0431
47.5,0.7582,101.9373,0.0413,0.2512,100.4681,0.0432
48.5,0.8276,102.5105,0.0413,0.2257,101.0339,0.0433
49.5,0.8917,103.0799,0.0414,0.2003,101.6012,0.0434
50.5,0.9504,103.6459,0.0415,0.1749,102.17,0.0435
51.5,1.0038,104.2087,0.0416,0.1497,102.7406,0.0436
52.5,1.0521,104.7687,0.0417,0.1247,103.313,0.0436
53.5,1.0954,105.3262,0.0418,0.1,103.8873,0.0437
54.5,1.1337,105.8813,0.042,0.0757,104.4635,0.0438
55.5,1.1671,106.4343,0.0421,0.0518,105.0415,0.0439
56.5,1.1958,106.9855,0.0422,0.0285,105.6213,0.044
57.5,1.22,107.535,0.0423,0.0059,106.2029,0.0441
58.5,1.2397,108.083,0.0424,-0.0161,106.7861,0.0441
59.5,1.2551,108.6296,0.0425,-0.0374,107.3707,0.0442
60.5,1.2664,109.1751,0.0426,-0.0577,107.9566,0.0443
61.5,1.2736,109.7196,0.0427,-0.0772,108.5436,0.0443
62.5,1.277,110.2631,0.0428,-0.0957,109.1316,0.0444
63.5,1.2767,110.8058,0.0429,-0.1132,109.7202,0.0445
64.5,1.2729,111.3477,0.043,-0.1297,110.3092,0.0445
65.5,1.2657,111.889,0.0431,-0.145,110.8984,0.0446
66.5,1.2554,112.4296,0.0432,-0.1592,111.4876,0.0447
67.5,1.2421,112.9696,0.0433,-0.1722,112.0764,0.0447
68.5,1.226,113.509,0.0434,-0.184,112.6646,0.0448
69.5,1.2073,114.0479,0.0434,-0.1947,113.2519,0.0448
70.5,1.1861,114.5861,0.0435,-0.204,113.838,0.0449
71.5,1.1628,115.1238,0.0436,-0.2122,114.4226,0.0449
72.5,1.1374,115.6609,0.0437,-0.2191,115.0055,0.045
73.5,1.1103,116.1973,0.0437,-0.2247,115.5863,0.045
74.5,1.0815,116.7329,0.0438,-0.2291,116.1648,0.0451
75.5,1.0514,117.2678,0.0439,-0.2323,116.7406,0.0451
76.5,1.0201,117.8018,0.0439,-0.2343,117.3136,0.0451
77.5,0.9878,118.3348,0.044,-0.2351,117.8833,0.0452
78.5,0.9549,118.8668,0.0441,-0.2348,118.4496,0.0452
79.5,0.9213,119.3977,0.0441,-0.2333,119.0123,0.0453
80.5,0.8875,119.9272,0.0442,-0.2307,119.571,0.0453
81.5,0.8536,120.4554,0.0442,-0.2271,120.1254,0.0453
82.5,0.8198,120.9821,0.0443,-0.2224,120.6755,0.0454
83.5,0.7862,121.5072,0.0443,-0.2168,121.221,0.0454
84.5,0.7532,122.0305,0.0444,-0.2102,121.7617,0.0455
85.5,0.7209,122.552,0.0445,-0.2028,122.2974,0.0455
86.5,0.6895,123.0714,0.0445,-0.1945,122.8279,0.0455
87.5,0.6591,123.5886,0.0446,-0.1855,123.3531,0.0456
88.5,0.63,124.1035,0.0446,-0.1757,123.8728,0.0456
89.5,0.6022,124.616,0.0447,-0.1653,124.387,0.0457
90.5,0.5759,125.1259,0.0447,-0.1544,124.8956,0.0457
91.5,0.5512,125.6331,0.0448,-0.1428,125.3985,0.0457
92.5,0.5283,126.1374,0.0449,-0.1308,125.8956,0.0458
93.5,0.5071,126.6388,0.0449,-0.1184,126.3869,0.0458
94.5,0.4879,127.137,0.045,-0.1056,126.8724,0.0459
95.5,0.4706,127.632,0.0451,-0.0926,127.3522,0.0459
96.5,0.4553,128.1237,0.0451,-0.0793,127.8263,0.046
97.5,0.4419,128.6119,0.0452,-0.0658,128.2947,0.046
98.5,0.4306,129.0966,0.0453,-0.0522,128.7576,0.0461
99.5,0.4213,129.5777,0.0454,-0.0385,129.2152,0.0461
100.5,0.4139,130.055,0.0454,-0.0247,129.6675,0.0462
101.5,0.4084,130.5286,0.0455,-0.011,130.1148,0.0463
102.5,0.4048,130.9983,0.0456,0.0027,130.5574,0.0463
103.5,0.4029,131.4641,0.0457,0.0164,130.9954,0.0464
104.5,0.4026,131.926,0.0458,0.0301,131.4293,0.0465
105.5,0.4039,132.384,0.0459,0.0436,131.8593,0.0466
106.5,0.4066,132.8381,0.046,0.0571,132.2859,0.0467
107.5,0.4106,133.2882,0.0461,0.0706,132.7094,0.0468
108.5,0.4157,133.7345,0.0462,0.0841,133.1304,0.0469
109.5,0.4218,134.1769,0.0463,0.0977,133.5493,0.047
110.5,0.4287,134.6155,0.0464,0.1115,133.9667,0.0471
111.5,0.4362,135.0504,0.0465,0.1254,134.3832,0.0472
112.5,0.4442,135.4818,0.0467,0.1397,134.7995,0.0474
113.5,0.4526,135.9097,0.0468,0.1544,135.2163,0.0475
114.5,0.461,136.3343,0.0469,0.1698,135.6342,0.0477
115.5,0.4695,136.7557,0.047,0.1859,136.054,0.0478
116.5,0.4777,137.1742,0.0471,0.203,136.4766,0.048
117.5,0.4856,137.5899,0.0473,0.2212,136.9027,0.0482
118.5,0.4929,138.0032,0.0474,0.2408,137.3333,0.0483
119.5,0.4997,138.4143,0.0475,0.2619,137.7691,0.0485
120.5,0.5056,138.8234,0.0476,0.2847,138.2112,0.0487
121.5,0.5106,139.231,0.0477,0.3096,138.6602,0.0489
122.5,0.5145,139.6373,0.0478,0.3366,139.1172,0.0491
123.5,0.5174,140.0427,0.048,0.3659,139.5829,0.0493
124.5,0.519,140.4477,0.0481,0.3977,140.0581,0.0495
125.5,0.5195,140.8527,0.0482,0.4321,140.5435,0.0496
126.5,0.5186,141.2582,0.0483,0.4692,141.0397,0.0498
127.5,0.5164,141.6646,0.0484,0.5089,141.5472,0.05
128.5,0.513,142.0725,0.0485,0.5514,142.0664,0.0501
129.5,0.5084,142.4824,0.0486,0.5963,142.5974,0.0503
130.5,0.5025,142.8949,0.0487,0.6436,143.1404,0.0504
131.5,0.4957,143.3107,0.0488,0.6931,143.695,0.0505
132.5,0.4879,143.7304,0.0489,0.7443,144.2609,0.0505
133.5,0.4794,144.1545,0.049,0.7969,144.8376,0.0506
134.5,0.4704,144.5838,0.0491,0.8505,145.424,0.0506
135.5,0.4611,145.019,0.0492,0.9044,146.0192,0.0505
136.5,0.4519,145.4607,0.0493,0.9581,146.6217,0.0505
137.5,0.4429,145.9097,0.0494,1.0111,147.23,0.0504
138.5,0.4346,146.3665,0.0495,1.0625,147.8424,0.0502
139.5,0.4273,146.832,0.0496,1.1117,148.4569,0.05
140.5,0.4215,147.3066,0.0497,1.1581,149.0714,0.0498
141.5,0.4175,147.7911,0.0497,1.2011,149.6839,0.0496
142.5,0.4158,148.2859,0.0498,1.2399,150.292,0.0493
143.5,0.4168,148.7917,0.0499,1.274,150.8936,0.0489
144.5,0.4209,149.3088,0.0499,1.303,151.4866,0.0486
145.5,0.4286,149.8376,0.05,1.3266,152.0687,0.0482
146.5,0.4402,150.3784,0.0501,1.3444,152.6381,0.0478
147.5,0.4561,150.9313,0.0501,1.3564,153.193,0.0474
148.5,0.4765,151.4964,0.0502,1.3626,153.7317,0.047
149.5,0.5018,152.0735,0.0502,1.3631,154.2529,0.0466
150.5,0.532,152.6624,0.0503,1.3582,154.7555,0.0462
151.5,0.5672,153.2627,0.0503,1.3482,155.2385,0.0458
152.5,0.6075,153.8738,0.0503,1.3338,155.7012,0.0454
153.5,0.6527,154.4951,0.0503,1.3154,156.1432,0.045
154.5,0.7028,155.1255,0.0504,1.2937,156.5643,0.0446
155.5,0.7574,155.7642,0.0504,1.2693,156.9644,0.0442
156.5,0.8162,156.4099,0.0503,1.243,157.3437,0.0439
157.5,0.8789,157.0612,0.0503,1.2153,157.7025,0.0435
158.5,0.9451,157.7168,0.0503,1.187,158.0411,0.0432
159.5,1.014,158.3751,0.0502,1.1585,158.3603,0.0429
160.5,1.0854,159.0344,0.0501,1.1304,158.6606,0.0426
161.5,1.1585,159.6931,0.05,1.1031,158.9427,0.0424
162.5,1.2328,160.3493,0.0499,1.077,159.2075,0.0421
163.5,1.3076,161.0015,0.0498,1.0523,159.4557,0.0419
164.5,1.3825,161.6478,0.0497,1.0294,159.6882,0.0417
165.5,1.4567,162.2865,0.0495,1.0083,159.9058,0.0415
166.5,1.5298,162.9161,0.0493,0.9891,160.1094,0.0413
167.5,1.6012,163.535,0.0491,0.9718,160.2997,0.0412
168.5,1.6704,164.1418,0.0489,0.9566,160.4777,0.041
169.5,1.737,164.7352,0.0487,0.9432,160.6441,0.0409
170.5,1.8005,165.314,0.0485,0.9318,160.7995,0.0408
171.5,1.8605,165.8771,0.0483,0.9221,160.9449,0.0407
172.5,1.9168,166.4236,0.048,0.914,161.0808,0.0406
173.5,1.9689,166.9528,0.0478,0.9075,161.2079,0.0405
174.5,2.0168,167.4641,0.0475,0.9025,161.3268,0.0404
175.5,2.0601,167.9571,0.0472,0.8987,161.4381,0.0403
176.5,2.0988,168.4313,0.047,0.8961,161.5423,0.0403
177.5,2.1326,168.8867,0.0467,0.8947,161.6399,0.0402
178.5,2.1617,169.3231,0.0464,0.8941,161.7315,0.0402
179.5,2.1858,169.7405,0.0462,0.8945,161.8174,0.0401
180.5,2.2052,170.1393,0.0459,0.8956,161.898,0.0401
181.5,2.2197,170.5195,0.0456,0.8973,161.9738,0.04
182.5,2.2296,170.8815,0.0454,0.8997,162.045,0.04
183.5,2.2349,171.2257,0.0451,0.9025,162.112,0.04
184.5,2.2358,171.5525,0.0448,0.9058,162.1752,0.04
185.5,2.2326,171.8626,0.0446,0.9094,162.2347,0.0399
186.5,2.2253,172.1563,0.0444,0.9134,162.2908,0.0399
187.5,2.2144,172.4343,0.0441,0.9176,162.3439,0.0399
188.5,2.1999,172.6972,0.0439,0.922,162.394,0.0399
189.5,2.1823,172.9456,0.0437,0.9266,162.4414,0.0399
190.5,2.1617,173.1801,0.0435,0.9314,162.4862,0.0398
191.5,2.1385,173.4014,0.0433,0.9362,162.5287,0.0398
192.5,2.113,173.6101,0.0431,0.9411,162.569,0.0398
193.5,2.0855,173.8067,0.0429,0.9461,162.6072,0.0398
194.5,2.0562,173.992,0.0427,0.9511,162.6435,0.0398
195.5,2.0255,174.1665,0.0426,0.9561,162.6781,0.0398
196.5,1.9936,174.3308,0.0424,0.9611,162.7109,0.0398
197.5,1.9608,174.4854,0.0423,0.9661,162.7421,0.0398
198.5,1.9273,174.631,0.0421,0.971,162.7719,0.0398
199.5,1.8934,174.768,0.042,0.9759,162.8002,0.0398
200.5,1.8593,174.8969,0.0418,0.9808,162.8273,0.0398
201.5,1.8252,175.0182,0.0417,0.9856,162.8531,0.0397
202.5,1.7913,175.1323,0.0416,0.9903,162.8778,0.0397
203.5,1.7578,175.2398,0.0415,0.9949,162.9013,0.0397
204.5,1.7247,175.341,0.0414,0.9995,162.9238,0.0397
205.5,1.6923,175.4362,0.0413,1.004,162.9454,0.0397
206.5,1.6607,175.5259,0.0412,1.0084,162.966,0.0397
207.5,1.6298,175.6104,0.0411,1.0127,162.9858,0.0397
208.5,1.6,175.6901,0.0411,1.0169,163.0047,0.0397
209.5,1.5711,175.7652,0.041,1.0211,163.0228,0.0397
210.5,1.5433,175.836,0.0409,1.0251,163.0402,0.0397
211.5,1.5165,175.9028,0.0409,1.0291,163.0569,0.0397
212.5,1.4909,175.9658,0.0408,1.033,163.0729,0.0397
213.5,1.4665,176.0254,0.0408,1.0368,163.0882,0.0397
214.5,1.4431,176.0816,0.0407,1.0405,163.103,0.0397
215.5,1.421,176.1348,0.0407,1.0441,163.1172,0.0397
216.5,1.4,176.185,0.0406,1.0476,163.1308,0.0397
